label                    , accuracy          , precision         , recall            , f1                , mcc                , mae               , exact_rate        , specificity       , balanced_accuracy , species
hmm_tokenized            , 0.7543632837750485, 0.7737704918032787, 0.4314442413162705, 0.5539906103286385, 0.4355360914954909 ,  8.898305084745763, 0.376599634369287 , 0.931             , 0.6812221206581353, Worm (Nematode - Unseen Clade)
hmm_tokenized            , 0.7464352138871667, 0.7727272727272727, 0.4714518760195758, 0.585612968591692 , 0.4444820252365801 ,  9.03114186851211 , 0.4078303425774878, 0.915             , 0.6932259380097879, GUE C. elegans Histone (Nematode)
logistic_regression      , 0.3721374045801526, 0.0679886685552408, 1.0               , 0.1273209549071618, 0.1524864736489514 , 19.125            , 0.7708333333333334, 0.342             , 0.671             , Human (Mammal - Held-out Region)
logistic_regression      , 0.3257199602780536, 0.010204081632653 , 1.0               , 0.0202020202020202, 0.0572320732114575 , 21.0              , 0.8571428571428571, 0.321             , 0.6605            , Mouse (Mammal - Held-out Region)
logistic_regression      , 0.6618020304568528, 0.5194922937443336, 0.9947916666666666, 0.6825491363907088, 0.488372552812605  ,  9.340314136125654, 0.7760416666666666, 0.47              , 0.7323958333333334, Arabidopsis (Plant - Held-out Region)
logistic_regression      , 0.6463195691202872, 0.5506912442396313, 0.991701244813278 , 0.7081481481481482, 0.4474423280198956 , 12.640167364016737, 0.7842323651452282, 0.3829113924050633, 0.6873063186091707, Yeast (Fungi - Unseen Clade)
logistic_regression      , 0.6405946994182288, 0.4957183634633682, 0.9524680073126144, 0.6520650813516896, 0.4327581874642199 , 11.694817658349328, 0.7513711151736746, 0.47              , 0.7112340036563072, Worm (Nematode - Unseen Clade)
logistic_regression      , 0.6949783013019218, 0.5564892623716153, 0.9722675367047308, 0.7078384798099763, 0.5110059612606288 , 10.57046979865772 , 0.797716150081566 , 0.525             , 0.7486337683523654, GUE C. elegans Histone (Nematode)
logistic_regression_codon, 0.383587786259542 , 0.069164265129683 , 1.0               , 0.1293800539083558, 0.1564741188053404 ,  7.0625           , 0.8958333333333334, 0.354             , 0.677             , Human (Mammal - Held-out Region)
logistic_regression_codon, 0.35253227408143  , 0.0106221547799696, 1.0               , 0.021021021021021 , 0.0607989297885204 ,  3.0              , 0.8571428571428571, 0.348             , 0.6739999999999999, Mouse (Mammal - Held-out Region)
logistic_regression_codon, 0.7049492385786802, 0.553623188405797 , 0.9947916666666666, 0.7113594040968343, 0.5403807350527151 ,  8.12565445026178 , 0.8142361111111112, 0.538             , 0.7663958333333334, Arabidopsis (Plant - Held-out Region)
logistic_regression_codon, 0.6714542190305206, 0.5683962264150944, 1.0               , 0.724812030075188 , 0.4891114978410107 ,  8.987551867219917, 0.8340248962655602, 0.4208860759493671, 0.7104430379746836, Yeast (Fungi - Unseen Clade)
